0,Loan application received,1262300400000
0,Check application form completeness,1262300646000
0,Check credit history,1262301170000
0,Appraise property,1262301188000
0,Asses loan risk,1262301895000
0,Assess eligibility,1262302883000
0,Reject application,1262303324000
0,Loan application rejected,1262303324000
1,Loan application received,1262598070000
1,Check application form completeness,1262598258000
1,Check credit history,1262598364000
1,Appraise property,1262598839000
1,Asses loan risk,1262599194000
1,Assess eligibility,1262600169000
1,Reject application,1262600655000
1,Loan application rejected,1262600655000
2,Loan application received,1262687797000
2,Check application form completeness,1262688059000
2,Check credit history,1262688193000
2,Appraise property,1262688769000
2,Asses loan risk,1262689019000
2,Assess eligibility,1262689984000
2,Reject application,1262690571000
2,Loan application rejected,1262690571000
3,Loan application received,1262784513000
3,Check application form completeness,1262784909000
3,Check credit history,1262785019000
3,Appraise property,1262785491000
3,Asses loan risk,1262785763000
3,Assess eligibility,1262786863000
3,Reject application,1262787342000
3,Loan application rejected,1262787342000
4,Loan application received,1262883272000
4,Check application form completeness,1262883572000
4,Appraise property,1262883974000
4,Check credit history,1262884137000
4,Asses loan risk,1262885005000
4,Assess eligibility,1262885920000
4,Reject application,1262886525000
4,Loan application rejected,1262886525000
5,Loan application received,1263207779000
5,Check application form completeness,1263208124000
5,Check credit history,1263208420000
5,Appraise property,1263208729000
5,Asses loan risk,1263209155000
5,Assess eligibility,1263210045000
5,Reject application,1263210569000
5,Loan application rejected,1263210569000
6,Loan application received,1263314006000
6,Check application form completeness,1263314273000
6,Return application back to applicant,1263314577000
6,Receive updated application,1263314938000
6,Check application form completeness,1263315337000
6,Check credit history,1263315532000
6,Appraise property,1263315981000
6,Asses loan risk,1263316427000
6,Assess eligibility,1263317073000
6,Reject application,1263317534000
6,Loan application rejected,1263317534000
7,Loan application received,1263396491000
7,Check application form completeness,1263396752000
7,Check credit history,1263397084000
7,Appraise property,1263397418000
7,Asses loan risk,1263398021000
7,Assess eligibility,1263398970000
7,Prepare acceptance pack,1263399594000
7,Check if home insurance quote is requested,1263400425000
7,Send acceptance pack with insurance,1263401195000
7,Verify repayment agreement,1263401866000
7,Approve application,1263402624000
7,Loan application approved,1263402624000
8,Loan application received,1263550014000
8,Check application form completeness,1263550229000
8,Check credit history,1263550643000
8,Appraise property,1263551050000
8,Asses loan risk,1263551326000
8,Assess eligibility,1263552310000
8,Reject application,1263552759000
8,Loan application rejected,1263552759000
9,Loan application received,1263812302000
9,Check application form completeness,1263812678000
9,Return application back to applicant,1263812932000
9,Receive updated application,1263813234000
9,Check application form completeness,1263813532000
9,Check credit history,1263814037000
9,Appraise property,1263814147000
9,Asses loan risk,1263814950000
9,Assess eligibility,1263815570000
9,Prepare acceptance pack,1263816127000
9,Check if home insurance quote is requested,1263816724000
9,Send acceptance pack,1263817374000
9,Verify repayment agreement,1263818015000
9,Cancel application,1263818477000
9,Loan application cancelled,1263818477000
10,Loan application received,1263910183000
10,Check application form completeness,1263910577000
10,Check credit history,1263910818000
10,Appraise property,1263911252000
10,Asses loan risk,1263911758000
10,Assess eligibility,1263912724000
10,Prepare acceptance pack,1263913480000
10,Check if home insurance quote is requested,1263913992000
10,Send acceptance pack,1263914560000
10,Verify repayment agreement,1263915449000
10,Cancel application,1263916192000
10,Loan application cancelled,1263916192000
11,Loan application received,1263996544000
11,Check application form completeness,1263996840000
11,Check credit history,1263996963000
11,Appraise property,1263997719000
11,Asses loan risk,1263997748000
11,Assess eligibility,1263998781000
11,Reject application,1263999396000
11,Loan application rejected,1263999396000
12,Loan application received,1264155263000
12,Check application form completeness,1264155579000
12,Appraise property,1264156345000
12,Check credit history,1264157191000
12,Asses loan risk,1264157924000
12,Assess eligibility,1264158920000
12,Prepare acceptance pack,1264159489000
12,Check if home insurance quote is requested,1264160229000
12,Send acceptance pack,1264161013000
12,Verify repayment agreement,1264161528000
12,Approve application,1264162265000
12,Loan application approved,1264162265000
13,Loan application received,1264411032000
13,Check application form completeness,1264411323000
13,Check credit history,1264411873000
13,Appraise property,1264412114000
13,Asses loan risk,1264412729000
13,Assess eligibility,1264413540000
13,Prepare acceptance pack,1264414226000
13,Check if home insurance quote is requested,1264414800000
13,Send acceptance pack,1264415456000
13,Verify repayment agreement,1264416421000
13,Cancel application,1264416945000
13,Loan application cancelled,1264416945000
14,Loan application received,1264505632000
14,Check application form completeness,1264505985000
14,Appraise property,1264506551000
14,Check credit history,1264506583000
14,Asses loan risk,1264507337000
14,Assess eligibility,1264508292000
14,Reject application,1264508768000
14,Loan application rejected,1264508768000
15,Loan application received,1264601963000
15,Check application form completeness,1264602133000
15,Check credit history,1264602445000
15,Appraise property,1264602879000
15,Asses loan risk,1264603513000
15,Assess eligibility,1264604099000
15,Reject application,1264604584000
15,Loan application rejected,1264604584000
16,Loan application received,1264687270000
16,Check application form completeness,1264687505000
16,Check credit history,1264687515000
16,Appraise property,1264688194000
16,Asses loan risk,1264688291000
16,Assess eligibility,1264689169000
16,Reject application,1264689869000
16,Loan application rejected,1264689869000
17,Loan application received,1265018193000
17,Check application form completeness,1265018549000
17,Check credit history,1265018692000
17,Appraise property,1265019169000
17,Asses loan risk,1265019483000
17,Assess eligibility,1265020556000
17,Prepare acceptance pack,1265020986000
17,Check if home insurance quote is requested,1265021474000
17,Send acceptance pack with insurance,1265022021000
17,Verify repayment agreement,1265022741000
17,Cancel application,1265023261000
17,Loan application cancelled,1265023261000
18,Loan application received,1265105397000
18,Check application form completeness,1265105710000
