1262301698000,1262301698000,0,Asses loan risk,1262301698000
1262302634000,1262302634000,0,Assess eligibility,1262302634000
1262324826915,1262300723000,0,Check application form completeness,1262300723000
1262326829250,1262300753000,0,Check credit history,1262300753000
1262327672874,1262301365000,0,Appraise property,1262301365000
1262335686291,1262303372000,0,Loan application rejected,1262303372000
1262339347988,1262303372000,0,Reject application,1262303372000
1262357326000,1262357326000,1,Loan application received,1262357326000
1262361533000,1262361533000,2,Check application form completeness,1262361533000
1262367224000,1262367224000,2,Verify repayment agreement,1262367224000
1262373547622,1262360257000,1,Reject application,1262360257000
1262374537478,1262363192000,2,Appraise property,1262363192000
1262376105717,1262360257000,1,Loan application rejected,1262360257000
1262376413256,1262361193000,2,Loan application received,1262361193000
1262376917036,1262357628000,1,Check credit history,1262357628000
1262377122666,1262357598000,1,Check application form completeness,1262357598000
1262378776059,1262362635000,2,Check application form completeness,1262362635000
1262379292767,1262367837000,2,Loan application cancelled,1262367837000
1262385324653,1262365646000,2,Prepare acceptance pack,1262365646000
1262386301352,1262362389000,2,Receive updated application,1262362389000
1262387306428,1262365956000,2,Check if home insurance quote is requested,1262365956000
1262387403119,1262365002000,2,Assess eligibility,1262365002000
1262387625723,1262358776000,1,Asses loan risk,1262358776000
1262388784565,1262366658000,2,Send acceptance pack with insurance,1262366658000
1262389644288,1262358007000,1,Appraise property,1262358007000
1262391212713,1262359605000,1,Assess eligibility,1262359605000
1262392326457,1262361978000,2,Return application back to applicant,1262361978000
1262392379773,1262363927000,2,Asses loan risk,1262363927000
1262398245380,1262362650000,2,Check credit history,1262362650000
1262403330772,1262367837000,2,Cancel application,1262367837000
1262606859000,1262606859000,3,Check application form completeness,1262606859000
1262608568000,1262608568000,3,Assess eligibility,1262608568000
1262609189000,1262609189000,3,Prepare acceptance pack,1262609189000
1262618649100,1262607663000,3,Asses loan risk,1262607663000
1262622619728,1262609735000,3,Check if home insurance quote is requested,1262609735000
1262624650000,1262624650000,4,Asses loan risk,1262624650000
1262626659292,1262607448000,3,Appraise property,1262607448000
1262629846531,1262606565000,3,Loan application received,1262606565000
1262632120895,1262610802000,3,Verify repayment agreement,1262610802000
1262633825848,1262606958000,3,Check credit history,1262606958000
1262634199974,1262610245000,3,Send acceptance pack,1262610245000
1262636394873,1262611314000,3,Loan application cancelled,1262611314000
1262642149255,1262625917000,4,Loan application rejected,1262625917000
1262643706468,1262623953000,4,Check credit history,1262623953000
1262644630506,1262625229000,4,Assess eligibility,1262625229000
1262645781716,1262611314000,3,Cancel application,1262611314000
1262646611694,1262622358000,4,Check application form completeness,1262622358000
1262655738244,1262621939000,4,Loan application received,1262621939000
1262656548487,1262623063000,4,Appraise property,1262623063000
1262658732429,1262625917000,4,Reject application,1262625917000
1262789159131,1262772600000,5,Check credit history,1262772600000
1262789510000,1262789510000,6,Reject application,1262789510000
1262793097039,1262771357000,5,Check application form completeness,1262771357000
1262793339285,1262774136000,5,Assess eligibility,1262774136000
1262795783215,1262774588000,5,Reject application,1262774588000
1262795818500,1262771010000,5,Loan application received,1262771010000
1262795944462,1262774588000,5,Loan application rejected,1262774588000
1262797381602,1262773324000,5,Asses loan risk,1262773324000
1262800455536,1262787308000,6,Check credit history,1262787308000
1262803349545,1262789510000,6,Loan application rejected,1262789510000
1262804386171,1262771966000,5,Appraise property,1262771966000
1262811361919,1262787423000,6,Appraise property,1262787423000
1262813013708,1262788346000,6,Asses loan risk,1262788346000
1262819252900,1262786593000,6,Loan application received,1262786593000
1262821956258,1262786868000,6,Check application form completeness,1262786868000
1262822289859,1262788722000,6,Assess eligibility,1262788722000
1262863595000,1262863595000,7,Approve application,1262863595000
1262875054154,1262862182000,7,Check if home insurance quote is requested,1262862182000
1262878328025,1262858800000,7,Loan application received,1262858800000
1262878591352,1262859172000,7,Check application form completeness,1262859172000
1262882110834,1262863039000,7,Verify repayment agreement,1262863039000
1262885249857,1262860909000,7,Assess eligibility,1262860909000
1262886972222,1262861467000,7,Prepare acceptance pack,1262861467000
1262888348248,1262859894000,7,Asses loan risk,1262859894000
1262891484445,1262859177000,7,Check credit history,1262859177000
1262895633346,1262859912000,7,Appraise property,1262859912000
1262895968688,1262862677000,7,Send acceptance pack,1262862677000
1262896320453,1262863595000,7,Loan application approved,1262863595000
1262944733000,1262944733000,8,Loan application received,1262944733000
1262944969000,1262944969000,8,Check application form completeness,1262944969000
1262946190000,1262946190000,8,Asses loan risk,1262946190000
1262947020000,1262947020000,8,Assess eligibility,1262947020000
1262964018471,1262947693000,8,Reject application,1262947693000
1262977215877,1262945122000,8,Check credit history,1262945122000
1262977604530,1262947693000,8,Loan application rejected,1262947693000
1262978860911,1262945690000,8,Appraise property,1262945690000
1263206233000,1263206233000,9,Loan application received,1263206233000
1263209958000,1263209958000,9,Prepare acceptance pack,1263209958000
1263220449000,1263220449000,10,Appraise property,1263220449000
1263223696824,1263208354000,9,Asses loan risk,1263208354000
1263229783456,1263206654000,9,Check application form completeness,1263206654000
1263229966287,1263212072000,9,Verify repayment agreement,1263212072000
1263230450763,1263209185000,9,Assess eligibility,1263209185000
