1262301365000,1262301365000,0,Appraise property,1262301365000
1262301698000,1262301698000,0,Asses loan risk,1262301698000
1262302634000,1262302634000,0,Assess eligibility,1262302634000
1262324826915,1262300723000,0,Check application form completeness,1262300723000
1262326829250,1262300753000,0,Check credit history,1262300753000
1262329679874,1262303372000,0,Reject application,1262303372000
1262339347988,1262303372000,0,Loan application rejected,1262303372000
1262357326000,1262357326000,1,Loan application received,1262357326000
1262361533000,1262361533000,2,Check application form completeness,1262361533000
1262361978000,1262361978000,2,Return application back to applicant,1262361978000
1262362389000,1262362389000,2,Receive updated application,1262362389000
1262365002000,1262365002000,2,Assess eligibility,1262365002000
1262367224000,1262367224000,2,Verify repayment agreement,1262367224000
1262373547622,1262360257000,1,Loan application rejected,1262360257000
1262377041717,1262361193000,2,Loan application received,1262361193000
1262377152666,1262357628000,1,Check credit history,1262357628000
1262377296036,1262358007000,1,Appraise property,1262358007000
1262377301478,1262365956000,2,Check if home insurance quote is requested,1262365956000
1262377855256,1262362635000,2,Check application form completeness,1262362635000
1262380068059,1262363927000,2,Asses loan risk,1262363927000
1262387104352,1262363192000,2,Appraise property,1262363192000
1262387515653,1262367837000,2,Loan application cancelled,1262367837000
1262388454723,1262359605000,1,Assess eligibility,1262359605000
1262389912291,1262357598000,1,Check application form completeness,1262357598000
1262390238119,1262367837000,2,Cancel application,1262367837000
1262390413288,1262358776000,1,Asses loan risk,1262358776000
1262391864713,1262360257000,1,Reject application,1262360257000
1262392998457,1262362650000,2,Check credit history,1262362650000
1262395110773,1262366658000,2,Send acceptance pack with insurance,1262366658000
1262401241380,1262365646000,2,Prepare acceptance pack,1262365646000
1262606565000,1262606565000,3,Loan application received,1262606565000
1262606859000,1262606859000,3,Check application form completeness,1262606859000
1262607448000,1262607448000,3,Appraise property,1262607448000
1262608568000,1262608568000,3,Assess eligibility,1262608568000
1262609189000,1262609189000,3,Prepare acceptance pack,1262609189000
1262621700767,1262610245000,3,Send acceptance pack,1262610245000
1262622358000,1262622358000,4,Check application form completeness,1262622358000
1262624650000,1262624650000,4,Asses loan risk,1262624650000
1262628308428,1262606958000,3,Check credit history,1262606958000
1262629789565,1262607663000,3,Asses loan risk,1262607663000
1262630525292,1262611314000,3,Loan application cancelled,1262611314000
1262632925100,1262621939000,4,Loan application received,1262621939000
1262634083531,1262610802000,3,Verify repayment agreement,1262610802000
1262635947728,1262623063000,4,Appraise property,1262623063000
1262638181848,1262611314000,3,Cancel application,1262611314000
1262645228772,1262609735000,3,Check if home insurance quote is requested,1262609735000
1262646547895,1262625229000,4,Assess eligibility,1262625229000
1262647907974,1262623953000,4,Check credit history,1262623953000
1262650997873,1262625917000,4,Loan application rejected,1262625917000
1262660384716,1262625917000,4,Reject application,1262625917000
1262789510000,1262789510000,6,Reject application,1262789510000
1262790820255,1262774588000,5,Reject application,1262774588000
1262792353468,1262772600000,5,Check credit history,1262772600000
1262792725506,1262773324000,5,Asses loan risk,1262773324000
1262795610694,1262771357000,5,Check application form completeness,1262771357000
1262799396500,1262774588000,5,Loan application rejected,1262774588000
1262803867131,1262787308000,6,Check credit history,1262787308000
1262804809244,1262771010000,5,Loan application received,1262771010000
1262805451487,1262771966000,5,Appraise property,1262771966000
1262806951429,1262774136000,5,Assess eligibility,1262774136000
1262807549285,1262788346000,6,Asses loan risk,1262788346000
1262808333039,1262786593000,6,Loan application received,1262786593000
1262809917215,1262788722000,6,Assess eligibility,1262788722000
1262810866462,1262789510000,6,Loan application rejected,1262789510000
1262811480602,1262787423000,6,Appraise property,1262787423000
1262819288171,1262786868000,6,Check application form completeness,1262786868000
1262859172000,1262859172000,7,Check application form completeness,1262859172000
1262859894000,1262859894000,7,Asses loan risk,1262859894000
1262863595000,1262863595000,7,Approve application,1262863595000
1262873059536,1262859912000,7,Appraise property,1262859912000
1262876516545,1262862677000,7,Send acceptance pack,1262862677000
1262882567025,1262863039000,7,Verify repayment agreement,1262863039000
1262883014352,1262863595000,7,Loan application approved,1262863595000
1262884847919,1262860909000,7,Assess eligibility,1262860909000
1262886134708,1262861467000,7,Prepare acceptance pack,1262861467000
1262891459900,1262858800000,7,Loan application received,1262858800000
1262894265258,1262859177000,7,Check credit history,1262859177000
1262895749859,1262862182000,7,Check if home insurance quote is requested,1262862182000
1262944733000,1262944733000,8,Loan application received,1262944733000
1262944969000,1262944969000,8,Check application form completeness,1262944969000
1262946190000,1262946190000,8,Asses loan risk,1262946190000
1262947020000,1262947020000,8,Assess eligibility,1262947020000
1262947693000,1262947693000,8,Loan application rejected,1262947693000
1262974144248,1262945690000,8,Appraise property,1262945690000
1262977429445,1262945122000,8,Check credit history,1262945122000
1262983414346,1262947693000,8,Reject application,1262947693000
1263206233000,1263206233000,9,Loan application received,1263206233000
1263209958000,1263209958000,9,Prepare acceptance pack,1263209958000
1263211515000,1263211515000,9,Send acceptance pack,1263211515000
1263220378154,1263207506000,9,Check credit history,1263207506000
1263220449000,1263220449000,10,Appraise property,1263220449000
1263228256834,1263209185000,9,Assess eligibility,1263209185000
1263229121471,1263212796000,9,Loan application approved,1263212796000
1263230994857,1263206654000,9,Check application form completeness,1263206654000
1263232640222,1263207135000,9,Appraise property,1263207135000
1263236925824,1263221583000,10,Assess eligibility,1263221583000
1263241645688,1263208354000,9,Asses loan risk,1263208354000
1263242855456,1263219726000,10,Check application form completeness,1263219726000
1263243337453,1263210612000,9,Check if home insurance quote is requested,1263210612000
1263243483763,1263222218000,10,Reject application,1263222218000
1263244165877,1263212072000,9,Verify repayment agreement,1263212072000
1263245966911,1263212796000,9,Approve application,1263212796000
1263249314530,1263219403000,10,Loan application received,1263219403000
1263250764551,1263220731000,10,Asses loan risk,1263220731000
1263255191492,1263222218000,10,Loan application rejected,1263222218000
1263255823000,1263219894000,10,Check credit history,1263219894000
1263290530000,1263290530000,11,Check credit history,1263290530000
1263291877000,1263291877000,11,Assess eligibility,1263291877000
1263304754000,1263304754000,12,Appraise property,1263304754000
1263305182126,1263292446000,11,Reject application,1263292446000
1263305563000,1263305563000,12,Asses loan risk,1263305563000
1263306309000,1263306309000,12,Assess eligibility,1263306309000
1263308096287,1263290202000,11,Check application form completeness,1263290202000
1263314622646,1263291366000,11,Asses loan risk,1263291366000
1263321003398,1263292446000,11,Loan application rejected,1263292446000
1263321800583,1263290948000,11,Appraise property,1263290948000
1263321993032,1263289935000,11,Loan application received,1263289935000
1263324010193,1263303801000,12,Loan application received,1263303801000
1263325731734,1263304108000,12,Check application form completeness,1263304108000
1263327406871,1263304442000,12,Check credit history,1263304442000
1263333277894,1263306874000,12,Reject application,1263306874000
1263340734112,1263306874000,12,Loan application rejected,1263306874000
1263386450000,1263386450000,13,Check application form completeness,1263386450000
1263405848190,1263389124000,13,Assess eligibility,1263389124000
1263406938928,1263388113000,13,Asses loan risk,1263388113000
1263407073038,1263387057000,13,Appraise property,1263387057000
1263410109633,1263386190000,13,Loan application received,1263386190000
1263414885179,1263389949000,13,Loan application rejected,1263389949000
1263415345626,1263387736000,13,Check credit history,1263387736000
1263418131553,1263389949000,13,Reject application,1263389949000
1263480837000,1263480837000,14,Send acceptance pack,1263480837000
1263489204055,1263477654000,14,Appraise property,1263477654000
1263489614452,1263478041000,14,Asses loan risk,1263478041000
1263491864059,1263477008000,14,Check application form completeness,1263477008000
1263492045910,1263478846000,14,Assess eligibility,1263478846000
1263495660759,1263481483000,14,Verify repayment agreement,1263481483000
1263501333262,1263482133000,14,Loan application approved,1263482133000
1263502275191,1263479680000,14,Prepare acceptance pack,1263479680000
1263506216539,1263476726000,14,Loan application received,1263476726000
1263511374826,1263477193000,14,Check credit history,1263477193000
1263514530521,1263480398000,14,Check if home insurance quote is requested,1263480398000
1263515005857,1263482133000,14,Approve application,1263482133000
1263559556000,1263559556000,15,Loan application received,1263559556000
1263560531000,1263560531000,15,Appraise property,1263560531000
1263562504000,1263562504000,15,Asses loan risk,1263562504000
1263563514000,1263563514000,15,Assess eligibility,1263563514000
1263564010000,1263564010000,15,Reject application,1263564010000
1263575157084,1263564010000,15,Loan application rejected,1263564010000
1263588392868,1263559816000,15,Check application form completeness,1263559816000
1263591679816,1263561552000,15,Check credit history,1263561552000
1263816215000,1263816215000,16,Check credit history,1263816215000
1263831409224,1263814944000,16,Loan application received,1263814944000
1263833360400,1263818110000,16,Assess eligibility,1263818110000
1263836544212,1263818483000,16,Loan application rejected,1263818483000
1263836894678,1263815815000,16,Appraise property,1263815815000
1263842623008,1263818483000,16,Reject application,1263818483000
1263845559704,1263815389000,16,Check application form completeness,1263815389000
1263851657310,1263817104000,16,Asses loan risk,1263817104000
1263893576000,1263893576000,17,Loan application received,1263893576000
1263893851000,1263893851000,17,Check application form completeness,1263893851000
1263895073000,1263895073000,17,Asses loan risk,1263895073000
1263906306697,1263894299000,17,Appraise property,1263894299000
1263910505000,1263910505000,18,Loan application received,1263910505000
1263910844000,1263910844000,18,Check application form completeness,1263910844000
1263911799884,1263896517000,17,Reject application,1263896517000
1263912442000,1263912442000,18,Assess eligibility,1263912442000
1263912890000,1263912890000,18,Loan application rejected,1263912890000
1263916602586,1263895865000,17,Assess eligibility,1263895865000
1263926658334,1263894202000,17,Check credit history,1263894202000
1263926666257,1263910951000,18,Check credit history,1263910951000
1263932351339,1263896517000,17,Loan application rejected,1263896517000
1263935075452,1263912890000,18,Reject application,1263912890000
1263944063245,1263911346000,18,Appraise property,1263911346000
1263945919688,1263911759000,18,Asses loan risk,1263911759000
1263998995000,1263998995000,19,Loan application received,1263998995000
1263999283000,1263999283000,19,Check application form completeness,1263999283000
1264001289000,1264001289000,19,Assess eligibility,1264001289000
1264001979000,1264001979000,19,Reject application,1264001979000
1264016203930,1264001979000,19,Loan application rejected,1264001979000
1264019416943,1264000607000,19,Asses loan risk,1264000607000
1264027416369,1263999765000,19,Check credit history,1263999765000
1264032885638,1263999679000,19,Appraise property,1263999679000
1264092241000,1264092241000,20,Loan application received,1264092241000
1264093156000,1264093156000,20,Appraise property,1264093156000
1264093684000,1264093684000,20,Asses loan risk,1264093684000
1264095085000,1264095085000,20,Prepare acceptance pack,1264095085000
1264097483000,1264097483000,20,Cancel application,1264097483000
1264097483000,1264097483000,20,Loan application cancelled,1264097483000
1264107693208,1264092931000,20,Check credit history,1264092931000
1264111300416,1264094469000,20,Assess eligibility,1264094469000
1264116223816,1264096326000,20,Send acceptance pack,1264096326000
1264123185649,1264095893000,20,Check if home insurance quote is requested,1264095893000
1264126223235,1264097044000,20,Verify repayment agreement,1264097044000
1264126461700,1264092626000,20,Check application form completeness,1264092626000
1264165024000,1264165024000,21,Loan application received,1264165024000
1264166072000,1264166072000,21,Check application form completeness,1264166072000
1264166381000,1264166381000,21,Return application back to applicant,1264166381000
1264167026000,1264167026000,21,Check application form completeness,1264167026000
1264169535000,1264169535000,21,Prepare acceptance pack,1264169535000
1264172073000,1264172073000,21,Approve application,1264172073000
1264172073000,1264172073000,21,Loan application approved,1264172073000
1264182427955,1264165773000,21,Receive updated application,1264165773000
1264184252499,1264170819000,21,Send acceptance pack,1264170819000
1264185415141,1264165534000,21,Return application back to applicant,1264165534000
1264186582966,1264168247000,21,Asses loan risk,1264168247000
1264187782538,1264167560000,21,Appraise property,1264167560000
1264189631205,1264165220000,21,Check application form completeness,1264165220000
1264190558311,1264171422000,21,Verify repayment agreement,1264171422000
1264197631151,1264167272000,21,Check credit history,1264167272000
1264200621998,1264168890000,21,Assess eligibility,1264168890000
1264200774183,1264166705000,21,Receive updated application,1264166705000
1264203934138,1264170150000,21,Check if home insurance quote is requested,1264170150000
1264434903000,1264434903000,22,Assess eligibility,1264434903000
1264444858062,1264433132000,22,Check credit history,1264433132000
1264455530297,1264430936000,22,Loan application received,1264430936000
1264456019459,1264434239000,22,Asses loan risk,1264434239000
1264456030321,1264435665000,22,Reject application,1264435665000
1264456237397,1264431179000,22,Check application form completeness,1264431179000
1264457374555,1264435665000,22,Loan application rejected,1264435665000
1264461264292,1264431810000,22,Appraise property,1264431810000
1264522063000,1264522063000,23,Check if home insurance quote is requested,1264522063000
1264535123078,1264517428000,23,Loan application received,1264517428000
